,clockticks,one_tick_time,wolves,moose,squirrels,area
0,1.0,1.6456,100.0,415.0,263.0,5625.0
1,2.0,1.9758,100.0,386.0,277.0,5625.0
2,3.0,1.5186,104.0,362.0,273.0,5625.0
3,4.0,1.7383,107.0,354.0,277.0,5625.0
4,5.0,2.0099,113.0,341.0,290.0,5625.0
5,6.0,1.5407,121.0,327.0,283.0,5625.0
6,7.0,1.2553,125.0,309.0,272.0,5625.0
7,8.0,0.9227,132.0,297.0,289.0,5625.0
8,9.0,0.9687,136.0,290.0,282.0,5625.0
9,10.0,1.075,141.0,287.0,288.0,5625.0
10,11.0,1.1052,145.0,279.0,292.0,5625.0
11,12.0,0.6671,152.0,272.0,295.0,5625.0
12,13.0,0.6801,152.0,269.0,297.0,5625.0
13,14.0,0.6602,153.0,260.0,303.0,5625.0
14,15.0,0.7819,160.0,243.0,319.0,5625.0
15,16.0,0.8642,158.0,233.0,323.0,5625.0
16,17.0,0.6783,159.0,229.0,343.0,5625.0
17,18.0,0.7701,162.0,222.0,359.0,5625.0
18,19.0,0.8285,160.0,222.0,364.0,5625.0
19,20.0,0.9451,155.0,218.0,358.0,5625.0
20,21.0,0.773,145.0,217.0,365.0,5625.0
21,22.0,0.3528,141.0,212.0,369.0,5625.0
22,23.0,0.5774,136.0,208.0,383.0,5625.0
23,24.0,0.3943,128.0,205.0,376.0,5625.0
24,25.0,0.4908,124.0,200.0,374.0,5625.0
25,26.0,0.2954,117.0,204.0,364.0,5625.0
26,27.0,0.3322,114.0,206.0,379.0,5625.0
27,28.0,0.2882,110.0,202.0,375.0,5625.0
28,29.0,0.3278,105.0,194.0,385.0,5625.0
29,30.0,0.3357,102.0,188.0,386.0,5625.0
30,31.0,0.4136,99.0,189.0,397.0,5625.0
31,32.0,0.4181,95.0,190.0,402.0,5625.0
32,33.0,0.2485,94.0,188.0,395.0,5625.0
33,34.0,0.391,89.0,190.0,413.0,5625.0
34,35.0,0.3233,84.0,190.0,434.0,5625.0
35,36.0,0.1859,83.0,191.0,461.0,5625.0
36,37.0,0.1973,77.0,190.0,466.0,5625.0
37,38.0,0.1918,77.0,191.0,485.0,5625.0
38,39.0,0.1787,77.0,190.0,521.0,5625.0
39,40.0,0.2035,73.0,191.0,526.0,5625.0
40,41.0,0.1731,66.0,194.0,521.0,5625.0
41,42.0,0.3297,68.0,194.0,524.0,5625.0
42,43.0,0.1809,64.0,201.0,559.0,5625.0
43,44.0,0.1834,61.0,203.0,593.0,5625.0
44,45.0,0.1849,59.0,203.0,627.0,5625.0
45,46.0,0.1767,60.0,207.0,631.0,5625.0
46,47.0,0.2092,60.0,210.0,654.0,5625.0
47,48.0,0.204,58.0,214.0,690.0,5625.0
48,49.0,0.181,57.0,213.0,682.0,5625.0
49,50.0,0.2034,55.0,215.0,698.0,5625.0
